Draft_Position,Name,TEAM,POS,value,Team,playerid,url,xpath,xpathIP_PA,Status,New_Position
302,Todd Frazier,NYM,3B,$1,Ringin' Dingers,785,http://www.fangraphs.com/statss.aspx?playerid=785&position=3B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[4]",Bench,
306,Brad Brach,Bal,RP,$1,Ringin' Dingers,6627,http://www.fangraphs.com/statss.aspx?playerid=6627&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Starter,
310,Mark Trumbo,Bal,OF,$1,Ringin' Dingers,6876,http://www.fangraphs.com/statss.aspx?playerid=6876&position=1B/OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__35""]/td[4]",Bench,
314,Hunter Renfroe,SD,OF,$1,Ringin' Dingers,15464,https://www.fangraphs.com/statss.aspx?playerid=15464&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__18""]/td[4]",Bench,
317,Alex Claudio,Tex,RP,$1,Ringin' Dingers,12890,https://www.fangraphs.com/statss.aspx?playerid=12890&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[8]",Starter,
320,Shane Greene,Det,RP,$1,Ringin' Dingers,10756,https://www.fangraphs.com/statss.aspx?playerid=10756&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[8]",Starter,
323,Fernando Rodney,Min,RP,$1,Ringin' Dingers,494,http://www.fangraphs.com/statss.aspx?playerid=494&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__48""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__48""]/td[8]",Starter,
326,Travis d'Arnaud,NYM,C,$1,Ringin' Dingers,7739,http://www.fangraphs.com/statss.aspx?playerid=7739&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[4]",Starter,
329,Joakim Soria,CWS,RP,$1,Ringin' Dingers,6941,http://www.fangraphs.com/statss.aspx?playerid=6941&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__37""]/td[8]",Starter,
330,Alex Avila,Ari,C,$1,Ringin' Dingers,7476,https://www.fangraphs.com/statss.aspx?playerid=7476&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[4]",Starter,
