"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","AVG","OBP","SLG","OPS","wOBA","Fld","BsR","WAR","ADP","playerid"
"Rob Refsnyder","Yankees","126","507","456","115","23","2","10","59","50","41","97","5","8","3",".252",".318",".377",".695",".303","-1.8","0.1","1.0","846.7","13770"
"Abraham Almonte","Indians","113","412","374","95","22","4","7","49","43","30","94","1","11","3",".254",".309",".390",".699",".302","4.4","0.8","0.8","756.9","5486"
"Jerry Sands","White Sox","96","349","314","73","12","1","12","37","40","30","91","2","0","1",".232",".302",".392",".693",".302","1.5","-0.6","0.0","999.0","4016"
"Mac Williamson","Giants","103","389","353","84","17","1","12","46","43","27","105","7","4","1",".238",".303",".394",".697",".301","-0.7","0.2","0.3","820.7","14158"
"Trayce Thompson","Dodgers","115","442","407","92","21","4","17","53","54","30","123","2","8","3",".226",".281",".423",".704",".301","2.9","0.2","1.3","583.3","9952"
"Steve Selsky","Red Sox","99","351","314","75","17","2","7","40","38","27","110","7","3","2",".239",".311",".373",".684",".300","2.4","-0.4","-0.1","999.0","12957"
"Domonic Brown","Phillies","127","487","450","115","22","1","12","50","64","31","89","3","8","3",".256",".306",".389",".695",".300","-5.2","0.1","-1.5","999.0","3154"
"Jason Coats","White Sox","126","506","468","116","25","2","14","59","56","26","112","6","5","3",".248",".294",".400",".694",".299","2.0","-0.5","0.4","999.0","14282"
"Travis Snider","Pirates","100","317","282","67","13","1","7","31","31","31","73","2","1","1",".238",".316",".365",".682",".298","-3.8","-0.4","-0.4","999.0","2830"
"Hunter Renfroe","Padres","139","586","551","132","28","3","23","73","80","28","162","3","5","2",".240",".278",".426",".705",".298","5.8","-0.1","0.8","205.8","15464"
"Daniel Nava","Royals","89","305","267","65","12","0","5","30","26","26","60","8","2","1",".243",".326",".345",".670",".298","-3.9","-0.2","-0.4","817.6","5450"
"Aaron Altherr","Phillies","110","462","414","94","22","3","13","55","57","35","134","8","11","4",".227",".298",".389",".687",".297","5.0","0.3","0.5","450.6","11270"
"Jared Hoying","Rangers","127","481","451","105","21","4","18","56","58","26","121","2","15","5",".233",".277",".417",".693",".295","2.5","0.8","0.9","975.0","10882"
"Aaron Hicks","Yankees","125","438","391","91","17","3","10","47","43","41","94","1","7","4",".233",".304",".368",".673",".293","-1.7","-0.5","0.4","665.1","5297"
"Adam Frazier","Pirates","121","466","425","113","20","4","2","49","34","31","65","3","12","10",".266",".319",".346",".665",".293","3.3","-2.0","0.1","596.7","15223"
"Andrew Lambo","Athletics","63","236","218","51","11","2","7","27","20","15","58","1","1","1",".234",".285",".399",".684",".293","-6.0","-0.3","-0.5","999.0","5386"
"Patrick Kivlehan","Reds","121","497","462","109","20","3","16","57","58","28","136","4","7","3",".236",".284",".396",".680",".293","-5.4","-0.1","-0.2","999.0","13910"
"Ezequiel Carrera","Blue Jays","123","381","341","85","12","3","6","46","33","27","81","4","15","6",".249",".310",".355",".665",".293","3.5","0.3","0.3","689.1","9048"
"Alejandro De Aza","Athletics","124","370","331","78","15","3","7","43","34","30","85","5","8","5",".236",".307",".363",".670",".292","-1.1","-0.6","0.0","922.5","3371"
"Rusney Castillo","Red Sox","96","372","347","90","17","3","5","37","31","19","63","3","8","4",".259",".302",".369",".671",".292","3.8","-0.2","0.7","871.3","17016"
"Brett Eibner","Dodgers","107","418","378","84","16","2","14","47","46","35","111","1","5","2",".222",".288",".386",".675",".292","-3.4","0.0","0.3","783.2","11369"
"Jaff Decker","Rays","107","405","355","81","16","2","8","45","35","42","90","2","11","5",".228",".311",".352",".663",".291","-3.5","-0.1","0.4","999.0","7945"
"Dariel Alvarez","Orioles","126","525","500","132","27","1","11","52","52","17","82","3","5","3",".264",".290",".388",".678",".291","2.2","-0.5","-0.1","999.0","15580"
"Michael Choice","Rangers","104","410","373","81","14","1","16","43","49","26","127","8","1","1",".217",".280",".389",".669",".290","-4.5","-0.4","-0.7","999.0","11376"
"Gorkys Hernandez","Giants","117","452","408","101","19","2","6","49","37","34","93","4","14","7",".248",".310",".348",".658",".290","1.9","-0.3","0.8","948.4","4146"
"Paulo Orlando","Royals","124","461","435","117","20","4","5","46","39","15","92","5","13","4",".269",".299",".368",".667",".288","7.5","0.7","0.5","555.8","8628"
"Brian Goodwin","Nationals","118","469","423","97","18","4","10","48","47","40","136","2","10","5",".229",".298",".362",".659",".288","1.8","-0.3","0.4","999.0","12858"
"Joey Rickard","Orioles","96","360","320","78","15","1","4","38","26","30","76","4","8","3",".244",".314",".334",".648",".288","-5.1","0.2","-0.8","793.9","13277"
"Junior Lake","Blue Jays","107","377","343","78","18","2","9","38","36","29","117","2","10","5",".227",".290",".370",".660",".288","2.8","-0.2","-0.1","999.0","4672"
"Allen Craig","Red Sox","83","323","290","68","14","1","5","28","27","27","77","4","1","0",".234",".307",".341",".648",".287","-0.3","0.0","-0.6","985.0","3433"
"Mikie Mahtook","Tigers","120","461","426","102","22","4","9","49","44","24","122","7","9","3",".239",".289",".373",".662",".287","-2.9","0.4","0.1","763.8","13130"
"Guillermo Heredia","Mariners","138","523","455","112","14","1","5","55","41","44","78","12","4","4",".246",".323",".314",".637",".286","0.2","-1.2","0.6","894.9","18721"
"L.J. Hoes","Astros","106","430","389","94","15","2","6","45","37","36","77","2","10","6",".242",".308",".337",".644",".286","-7.3","-0.7","-0.6","999.0","6656"
"Ben Gamel","Mariners","139","580","534","129","25","6","10","63","56","38","135","2","11","5",".242",".293",".367",".660",".286","-4.7","-0.1","0.3","688.8","12160"
"Brennan Boesch","Reds","70","252","235","56","11","1","7","24","27","14","60","1","3","2",".238",".282",".383",".665",".285","-8.9","-0.3","-1.3","999.0","914"
"Michael Reed","Brewers","128","507","440","93","20","3","9","54","44","59","154","4","17","9",".211",".308",".332",".640",".285","-5.7","-0.6","-0.7","999.0","13228"
"Ichiro Suzuki","Marlins","132","353","321","83","10","5","1","43","20","25","42","2","9","3",".259",".314",".330",".645",".284","1.2","0.4","-0.2","777.2","1101"
"Ramon Flores","Brewers","105","381","339","77","15","2","8","37","36","34","81","2","3","2",".227",".298",".354",".652",".284","0.2","-0.4","-0.1","999.0","11165"
"Ryan Kalish","Cubs","65","212","191","45","8","2","3","24","21","16","46","2","7","3",".236",".300",".346",".646",".282","-0.2","0.1","-0.3","999.0","6962"
"Jeff Francoeur","Marlins","113","317","298","73","13","1","8","31","35","15","73","1","1","2",".245",".281",".376",".657",".282","-3.1","-0.8","-0.8","999.0","4792"
"Jordany Valdespin","Marlins","96","315","287","70","10","2","5","31","28","20","50","3","8","5",".244",".298",".345",".643",".281","-5.0","-0.6","-0.4","999.0","5098"
"Nolan Reimold","","84","242","216","48","9","1","5","24","20","23","66","1","2","1",".222",".298",".343",".640",".281","0.4","-0.1","-0.3","999.0","3441"
"Cole Gillespie","","91","274","247","60","12","2","2","29","21","22","46","1","4","1",".243",".304",".332",".636",".281","1.3","0.2","-0.2","999.0","5888"
"Reymond Fuentes","Royals","96","392","356","89","12","3","4","41","32","25","88","3","19","5",".250",".303",".334",".637",".280","2.7","1.5","0.2","999.0","10329"
"Destin Hood","Marlins","118","466","435","101","23","3","11","48","47","25","129","2","6","5",".232",".275",".375",".649",".280","2.9","-1.1","-0.5","999.0","9887"
"Socrates Brito","Diamondbacks","135","521","500","123","19","8","11","54","52","18","118","1","14","6",".246",".273",".382",".655",".280","7.0","0.1","-0.4","681.6","12944"
"Peter Bourjos","White Sox","118","320","291","67","12","4","6","38","23","18","87","5","6","4",".230",".286",".361",".647",".279","2.7","-0.6","-0.2","866.9","2578"
"Hunter Dozier","Royals","127","525","483","107","29","0","13","55","51","37","152","2","5","2",".222",".278",".362",".640",".278","-4.2","-0.1","-0.5","626.1","15117"
"Alex Presley","Tigers","101","366","337","82","11","2","6","36","32","23","62","2","6","5",".243",".294",".341",".635",".278","6.1","-1.0","0.0","999.0","5305"
"Matt den Dekker","Nationals","122","433","391","86","17","3","8","46","38","35","114","4","12","4",".220",".289",".340",".630",".278","4.0","0.5","-0.3","999.0","11385"
"Ryan Lollis","Giants","110","425","388","95","14","3","4","42","33","29","61","2","5","2",".245",".299",".327",".626",".275","3.4","-0.1","-0.2","999.0","6623"
"Mason Williams","Yankees","84","352","323","76","14","3","4","34","26","22","63","0","7","5",".235",".282",".334",".617",".269","1.6","-0.8","-0.1","990.0","11859"
"Tyler Holt","Reds","117","376","336","78","12","3","1","37","23","31","81","2","13","4",".232",".299",".295",".594",".267","0.1","0.7","-0.1","999.0","11391"
"Mike Baxter","Cubs","94","330","296","64","12","2","4","33","25","27","75","5","6","2",".216",".291",".311",".602",".266","-3.1","0.2","-0.9","999.0","4464"
"Slade Heathcott","Yankees","62","239","215","45","7","2","4","24","21","19","79","2","3","3",".209",".277",".316",".594",".261","-3.7","-0.7","-0.8","999.0","10336"
"Kyle Waldrop","Reds","125","469","443","101","20","2","9","44","42","20","129","2","5","4",".228",".262",".343",".605",".259","-2.2","-0.8","-1.4","999.0","11402"
"Darin Mastroianni","Twins","90","363","334","75","14","1","3","33","26","22","79","3","12","4",".225",".277",".299",".576",".256","-1.2","0.6","-0.8","999.0","7316"
"Rico Noel","Yankees","82","241","217","46","8","2","0","23","15","15","64","4","18","6",".212",".274",".267",".542",".243","1.7","1.0","-0.4","999.0","10585"
