,Name,TEAM,POS,Team,playerid,url,xpath,xpathIP_PA,Status
28,Austin Hedges,SD ,C,Bluff Bunters,12976,http://www.fangraphs.com/statss.aspx?playerid=12976&position=C,"//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__17""]/td[4]",Starter
35,Brad Hand,SD ,P,Bluff Bunters,9111,http://www.fangraphs.com/statss.aspx?playerid=9111&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__28""]/td[8]",Starter
42,Brandon Phillips,Atl,2B,Bluff Bunters,791,http://www.fangraphs.com/statss.aspx?playerid=791&position=2B,"//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__40""]/td[4]",Starter
46,Bryan Shaw,Cle,P,Bluff Bunters,8110,http://www.fangraphs.com/statss.aspx?playerid=8110&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[8]",Bench
50,C.J. Cron,LAA,1B,Bluff Bunters,12546,http://www.fangraphs.com/statss.aspx?playerid=12546&position=1B/DH,"//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__19""]/td[4]",Starter
72,Chris Sale,Bos,P,Bluff Bunters,10603,http://www.fangraphs.com/statss.aspx?playerid=10603&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[8]",Starter
79,Corey Kluber,Cle,P,Bluff Bunters,2429,http://www.fangraphs.com/statss.aspx?playerid=2429&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__30""]/td[8]",Starter
92,David Peralta,Ari,OF,Bluff Bunters,2136,http://www.fangraphs.com/statss.aspx?playerid=2136&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__16""]/td[4]",Starter
103,Domingo Santana,Mil,OF,Bluff Bunters,10348,http://www.fangraphs.com/statss.aspx?playerid=10348&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__26""]/td[4]",Starter
119,Eugenio Suarez,Cin,3B,Bluff Bunters,12552,http://www.fangraphs.com/statss.aspx?playerid=12552&position=3B/SS,"//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__22""]/td[4]",Starter
143,Hunter Pence,SF ,OF,Bluff Bunters,8252,http://www.fangraphs.com/statss.aspx?playerid=8252&position=OF,"//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[21]","//*[@id=""SeasonStats1_dgSeason11_ctl00__38""]/td[4]",Starter
144,Hunter Strickland,SF ,P,Bluff Bunters,7836,http://www.fangraphs.com/statss.aspx?playerid=7836&position=P,"//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[19]","//*[@id=""SeasonStats1_dgSeason11_ctl00__25""]/td[8]",Starter
